Lang	Latitude	Longitude	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
1	-5,99999999999983	26,3063063063072	ˀk ɨ w    	āː ˀk e r    	ɨ ŋː f    	āː w e n m    	ˀk ə m ŋː āː r    	t̪ f āː r    	ˀk r āː āː    	ə w r    	r ɨ m    	ŋː ə t̪ f    
3	0,306306306306476	29,4594594594604	ʰt aːi aˑ    	eː ɗː    ɛ ʈ    	n̊ ʉː    	ɛ s k sː    	aːi t aˑ    	t r uɔ    	v t oː    	aˑ tː a    	ɨ f m    	yː f r a    
5	-5,54954954954938	26,7567567567577	i s t    	s œː ə r    	i f ṽ    	t n œː ə m    	a s f m ɔ̃ː r    	ṽ œː j r    	s ɔ̃ː r ɔ̃ː    	a t r    	r i m    	f j oi ṽ    
6	-5,09909909909893	27,2072072072081	ɐu dʲː ɯ̱    	o tsʰ e r    	ʒ ɐu cː    	o ɯ̱ n e m    	dʲː a m ʒ u r    	cː dʲː o r    	dʲː r u u    	a ɯ̱ r    	r ɐu m    	a ʒ dʲː cː    
7	-5,09909909909893	26,7567567567577	i s w    	ɑˑ s o r    	i χ k    	o w ɑˑ kˀ m    	s ãː m χ ɑ̠ r    	k k o r    	s ɑ̠ r ɑ̠    	w ãː r    	r i m    	χ k ãː k    
9	-3,29729729729713	29,0090090090099	i ˀd w    	o e ˀd pʲ    	i ɓ cː    	w o θ e ʋ    	yː ˀd ʋ ɓ u g    	ˀd cː o g    	ˀd u r u    	a w pʲ    	i r ʋ    	ˀd ɓ yː cː    
10	-2,84684684684668	29,0090090090099	s i w    	o s ɛ̃ ʃʰ    	i f k    	w ə n ɛ̃ m    	s ɔˑ m f ɐː ʃʰ    	k ə kp ʃʰ    	s b̥ u u    	w ɔˑ ʃʰ    	i b̥ m    	f kp ɔˑ h    
11	-4,64864864864848	26,7567567567577	s ĩ w    	o s e ɗ    	ĩ j ɕʲ    	w ʃː o e m    	á s m j uɔ ɗ    	o ɕʲ j ɗ    	s ɔ̃ː ɗ ɔ̃ː    	w á ɗ    	ɗ ĩ m    	j j á ɕʲ    
12	-6,45045045045028	25,4054054054063	s i w    	ɬ o œ d̪    	f i k    		s m f ə æ̃ d̪    	k o j d̪    	s r u u    	ə w d̪    	i r m    	f j ə k    
63	-1,94594594594578	26,7567567567577	d̥ ɒː t    	d̥ œː ə ɣʷ    	i f b    	t œː n ə m    	a d̥ f m o ɣʷ    	b œː j ɣʷ    	d̥ ɣʷ ɔ̃ː ɔ̃ː    	t a ɣʷ    	ɣʷ ɒː m    	f j ɒ b    
197	-1,94594594594578	29,0090090090099	ˀd i w    		i ɓ cː    	w o θ e m    	ˀd ɨˤ m ɓ ɑː pʲ    	ˀd cː o pʲ    	ˀd ɑː r ɑː    	a w pʲ    	r i m    	ˀd ɓ ɨˤ l̪    
15	-3,29729729729713	28,5585585585595	r̃ ŏ w    	o au r̃ ɣ    	f ŏ cː    	w o j au z    	r̃ a z f u ɣ    	cː r̃ o ɣ    	r u r̃ u    	a w ts    	r ŏ z    	r̃ f a cː    
16	-5,99999999999983	25,4054054054063	s i w    	s əɯ œ ɦ    	i dʑ k    	w əɯ n œ m    	s ɔˑ m dʑ u ɦ    	k j əɯ ɦ    	s r u u    	ɔˑ w ɦ    	r i m    	dʑ j ɔˑ k    
17	3,90990990991008	25,8558558558568	n aːi i    	ʀ iɛ    ɓ ɛ    	ɧ ʉː    	ɛ s j sː    	t aːi i    	r t i    	v t ʏ    	tː i a    	f ɨi m    	yː f r a    
18	-5,99999999999983	25,8558558558568	h i w    	h o e d̪    	i f h    	w ə n e m    	h ɔˑ f m ia d̪    	h ə b d̪    	h ia b̥ īː    	ɔˑ w d̪    	b̥ i m    	f b ɔˑ ʈː    
19	-3,74774774774758	26,3063063063072	i s t    	s au ə r    	i f k    	t au n i m    	a m s ɔ̃ː f r    	k au j r    	s ɔ̃ː r ɔ̃ː    	a t r    	r i m    	f j a ŋ    
20	-2,84684684684668	28,108108108109	s i w    	u s e pʲ    	f i cː    	w u n e m    	s aɯ m f ĩː pʲ    	cː s u pʲ    	s r ĩː ĩː    	aɯ w pʲ    	r i m    	s f aɯ cː    
21	-3,74774774774758	28,5585585585595	ʀ i w    	õ ʀ e r    	f i ŋ    	w õ e ʁ m    	ʀ ə m f ɔ̃ r    	ɔ̃ t̪ ŋ r    	ʀ r õ õ    	w ə r    	i r m    	f t̪ ə ŋ    
196	-8,25225225225208	30,3603603603613	ɑː dʲː kʼ    	o ɭ e r    	ɑː ʒ cː    	o kʼ n e m    	dʲː a m ʒ u r    	cː dʲː o r    	dʲː r u u    	a kʼ r    	r ɑː m    	ʒ a dʲː cː    
23	-6,45045045045028	25,8558558558568	s i kʼ    	o p ɵ r    	ts i cː    	o n kʼ ɵ ˀj    	s ʌ ˀj ts u r    	o cː s r    	s u r u    	ŭ kʼ r    	r i ˀj    	ts s ʌ cː    
24	-11,4054054054052	20,4504504504514	l̪ i w    	ɑˑ o l̪ r    	f i k    	w o ˀd ɑˑ m    	l̪ u m f u ɸ    	k k o ɸ    	l̪ u m u    	w u ɸ    	r i m    	f k u k    
25	-7,35135135135118	24,9549549549559	i s tː    	s o e r    	ɭː i cː    	tː o e n m    	s a m u ɭː r    	cː t̪ o r    	s u r u    	a tː r    	r i m    	t̪ a ɭː cː    
26	-3,29729729729713	25,8558558558568	ɸ i w    	ɸ o e pʲ    	i f d̪    	w o n e m    	ɸ œː m f aː pʲ    	d̪ ɸ o pʲ    	ɸ aː pʰ aː    	œː w pʲ    	ŋ i m    	ɸ f œː d̪    
27	-6,45045045045028	24,9549549549559	s a̱ w    	o s ɐ m    	dʑ i k    	w n ɐ o m    	s ə m dʑ u m    	k o j m    	s r u u    	w ə m    	r a̱ m    	dʑ j ə k    
28	-5,54954954954938	25,4054054054063	i s w    	o cçʲ œ d̪    	f i k    	w f o œ p    	s ə m f u d̪    	k ʈʰ o d̪    	s u r u    	w ə d̪    	i r p    	ʈʰ f ə k    
29	2,10810810810828	23,1531531531541	i ɗ t    	e˞ ɗ au pʲ    	ɤ̱ i cː    	t ui n au m    	ɗ ɛ̃ m ɤ̱ u pʲ    	cː ɗ ui pʲ    	ɗ u r u    	t a pʲ    	i r m    	ɗ ɛ̃ ɤ̱ cː    
30	3,90990990991008	27,2072072072081	aːi n ɔ    	eː f    ɛ ʈ    	ɧ ʉː    	ɛ s k kʰʲ    	ɸ aːi ɔ    	ɸ r uɔ    	v ɸ oː    	ɔ b a̹    	f ɛ m    	f yː r a̹    
