Lang	Family	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
136752	bhw	4   4   	5   5   5   5   	6   	7   7   	8   	9   	10   10   	1   	2   	3   
124828	swe	30   	22   	28   	27   	8   	24   24   	10   	1   	26   	3   3   3   
95303	bhw	4   	5   5   	6   6   	7   	8   8   		10   	1   	2   	3   
56586	bhw	30   		6   	7   27   	8   8   	9   	10   10   	1   1   	2   	3   25   3   25   3   
100492	bhw	4   	5   	6   6   	7   	8   	9   	10   10   	1   	2   2   	3   
107728	bhw	4   	5   	6   	7   7   7   27   	8   8   	9   	10   	1   	2   	2   3   
76059	bhw	4   30   	5   5   	6   28   	7   7   	8   	9   	10   10   10   	1   1   1   	2   	3   
61213	bhw	4   4   4   4   	5   5   5   	6   6   	7   7   	8   	9   9   	10   10   10   	1   1   	2   2   	3   3   
97002	swe	4   	22   5   	28   6   	7   7   	8   	9   	10   	29   	26   	3   25   3   25   
105721	bhw	4   	5   21   5   5   5   	28   	7   	8   	9   9   	10   	1   29   	2   	3   3   
128864	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	2   2   	3   3   3   
115217	swe	30   	22   5   5   22   5   	28   6   6   	7   	31   31   8   8   	24   9   	23   10   23   	1   1   	2   2   	3   3   
120928	bhw	4   	5   	6   6   	7   	8   8   8   	9   	10   10   	1   	3   3   	3   
107726	bhw	4   4   4   	5   5   	6   	7   	8   	9   	10   	1   	2   	3   
56579	bhw	4   	5   5   	6   	7   	8   	9   9   	10   10   	1   	2   	3   
136742	bhw		22   5   5   	28   6   	7   	31   	24   	10   10   	1   	26   	3   
29054	bhw	4   4   	22   5   5   	28   28   6   	7   	31   8   	24   	10   10   10   	1   1   	26   	3   3   
88810	swe	30   	21   5   	6   	7   	31   8   	24   	23   	29   	26   7   	25   
85792	bhw	4   4   	21   	6   	27   7   	8   8   8   8   	9   	10   	1   	2   	3   
82995	bhw	4   	5   	6   	7   7   	8   	9   	10   	1   1   	7   	3   3   3   
138777	bhw	4   	5   	6   	7   7   	8   8   	9   	10   10   	1   	2   2   	3   3   
81528	swe	30   	5   	28   	7   	8   8   	24   	23   	29   	2   	25   25   
136757	swe	30   	5   	28   	7   	31   8   	24   9   	23   	29   	2   	25   25   
95300	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   1   	2   	3   
62750	swe	30   	21   5   	28   6   	27   	8   6   	24   	23   	29   	2   2   2   	3   
136755	bhw	4   	5   5   5   	6   	7   	8   	9   	10   10   	1   	2   	3   3   
82992	bhw	4   4   	5   5   	6   	7   	8   	9   9   	10   	1   1   1   	5   	25   
126763	bhw	4   4   30   30   	5   5   	6   	7   	8   31   	9   9   9   9   	10   	1   1   	2   	3   
87251	bhw	4   	5   	6   6   	7   	8   31   	9   	10   10   10   10   10   	1   	2   	3   3   
100489	swe	30   	21   22   	6   	27   	31   	24   9   	23   	29   1   	2   2   	3   
85783	bhw	4   	5   5   5   5   5   	6   	7   7   	8   	9   	10   10   	1   1   	2   	3   
124821	bhw	4   30   4   	5   5   	28   	7   7   	8   	9   	10   23   10   10   	1   	2   2   	3   3   
18678	bhw	4   4   	5   5   5   	6   6   6   	7   	8   	9   9   	10   10   	1   	2   2   2   	3   3   
24566	bhw	4   	5   	6   6   6   6   	7   7   	8   8   	9   	10   10   	1   1   	2   	3   
84256	bhw	4   	5   5   	6   	7   	8   	9   	10   10   	1   	2   	3   3   
100486	bhw	4   	5   	6   28   	7   	8   	9   	10   10   23   	1   1   1   1   	2   2   	3   3   3   3   3   3   3   
113333	bhw	4   	5   	6   	7   	8   8   	9   	10   	1   	3   3   	3   3   3   
136748	bhw	4   4   	5   	6   	2   7   	8   	9   	10   	1   	2   	3   3   
136739	bhw	4   	5   5   5   5   	6   	7   	8   8   	9   	10   10   	1   	2   	3   
136747	swe	4   	5   5   5   	6   	27   7   	8   8   8   	9   	10   10   10   10   	29   	2   2   	25   3   
122815	bhw	4   	5   	6   	7   7   	8   	9   	10   10   	1   	2   	3   
136746	swe	30   	21   	28   	27   	8   	24   	23   	29   1   1   	2   26   	3   25   
1420	bhw	30   	5   	6   	7   7   	8   	24   9   	10   23   	1   1   1   1   	2   2   2   26   	3   3   3   3   3   3   
84253	bhw	4   	5   5   5   	28   6   	7   	8   	24   9   9   9   	10   10   	1   1   1   	2   2   	3   25   3   
80239	bhw		5   5   		7   7   	8   8   	9   	10   	1   	2   2   	3   3   
82933	swe	30   4   	21   5   5   	28   6   	27   7   7   7   7   	31   31   8   	9   24   	23   	29   	2   	3   3   3   3   
136737	bhw	4   4   	5   5   	6   6   28   	7   7   	8   	9   24   	10   10   10   10   	1   	2   	3   3   3   
102326	bhw	4   	5   	6   	7   	8   	9   	10   	1   	7   	3   3   
82987	bhw	4   	5   5   	6   	7   7   	8   	9   	10   10   10   	1   1   	2   	3   
91920	swe	30   4   	5   22   5   5   	28   6   	7   	8   	24   24   24   9   	23   	1   1   1   	2   	3   
111405	bhw	4   4   	5   5   5   	6   	7   7   	8   8   	9   9   	10   10   	1   1   	2   	3   3   
65903	bhw	4   4   	5   5   5   5   5   5   	6   6   6   6   	7   7   7   7   7   7   	8   8   	9   9   9   9   9   	10   10   	1   1   	2   2   2   	3   3   3   3   
124813	bhw	4   	5   5   	6   6   6   	7   7   7   	8   8   8   	9   9   9   9   	10   10   	1   1   1   	2   	3   3   3   3   
128849	bhw	4   	5   	6   	7   	8   	9   	3   10   	1   1   	2   	3   
111414	swe	30   	21   5   5   21   	28   	27   7   	8   31   8   	24   	23   10   23   	29   29   1   1   	2   	25   25   
