Lang	Latitude	Longitude	ALL	ASH	BARK	BELLY	BIG	BIRD	BITE	BLACK	BLOOD	BONE	BREAST	BURN	CLAW	CLOUD	COLD	COME	DIE	DOG	DRINK	DRY	EAR	EARTH (SOIL)	EAT	EGG	EYE	FAT (ORGANIC SUBSTANCE)	FEATHER	FIRE	FISH	FLESH OR MEAT	FLY (MOVE THROUGH AIR)	FOOT	FULL	GIVE	GOOD	GREEN	HAIR	HAND	HEAD	HEAR	HEART	HORN (ANATOMY)	HOT OR WARM	I	KILL	KNEE	KNOW (SOMETHING)	LEAF	LIE (REST)	LIVER	LONG	LOUSE	MAN	MANY	MOON	MOUNTAIN	MOUTH	NAME	NECK	NEW	NIGHT	NOSE	NOT	ONE	PERSON	RAINING OR RAIN	RED	ROAD	ROOT	ROUND	SAND	SAY	SEE	SEED	SIT	SKIN	SLEEP	SMALL	SMOKE (EXHAUST)	STAND	STAR	STONE	SUN	SWIM	TAIL	THAT	THIS	THOU	TONGUE	TOOTH	TREE	TWO	WALK	WATER	WE	WHAT	WHITE	WHO	WOMAN	YELLOW
7848	-2,39639639639623	138,468468468469	tsʼ ɤ ŋ̥ ʁ ɐi dʰ ɤ    	k ã ʔ    ɮ aɪ sʲ ɛː ˀm    	tsʼ uː b ɐi kʷ    	tsʼ ʈʰ uː ɐi ʁ    	i b dʰ i pʰ    	ɛ b ɐi dʰ ʁ    	ɣ ɐi n ɤ m ʑ uː kʷ    	p yː t ɪ    	uː tsʼ ʁ    	ɮ aɪ sʲ ɛː ˀm    	ä m tʃ ɤ pʰ    					ɤː f lˠ    		g ɛ    	r ɪ rʲ o t    f i̱ au s    	tsʼ i ʈʰ i kʷ    	ʁ a̠ pʰ    		f i̱ au s    		l̪ˠ ɛ dʲ    	f ɛ lˠ    	ɤ p ŋ̥    	d ɯ ɯ nʲ χ g    d ɨ̃    	nʷ ɔ̆ ʔ eː ʈʂʰ    		ɣ i    	uː dʰ uː kʷ    c i dʰ ɤ pʰ    	ə ɣ ʑ ɤ    	b ɐi ŋ̥ m uː kʷ    		lˠ ɣ ɛː aː ʄ    	o s χ o t̪    	s ă ʄ    	b uː dʒʲ    	b m ɐi ʑ uː kʷ    	tsʼ ɤ ʑ b    	m i ɐi ħ dʲ    			āː t ʃʰ t ɪ    	ɣ i dʲ    		ŭ tʃ au f s    	tʲ uː ɣ uː m kʷ    	b ɯ ȵ ɑˑ g    		i b ɣ    			pʰ uː    	aːi t kʷ    		uː g    		tʲ ɤ ʈʰ i    	i ɣ ʁ    		ä m ɤ nʲ    	j eː m̩    	ŋ̥ uː ɤ m    		aːu tsʼ dʲ i ʑ    	tʃ l̪ˠ ə ɤ    		u j ɯ dˤ ʒ ɯ tsʼ    	i tsʼ m    		dʒ i ʑ ɤ dʰ uː kʷ    	ä aːu l̪ˠ ʁ    	ɨ̃ d ɬː wʲ i i ˀk    	õ ʃʰ p ã tɕʰ o d    s ui j ɯː s    	lˠ aːi f t ɛ s    	l̪ˠ i tʃ i pʰ    	i ɣ ɣ i ʁ    	t aɪ bʲ aːi f s    	tʲ i ŋ̥ ʑ i dʲ    	uː ɣ n    	ʔ o t ʃʰ    		tsʼ i tʲ ŋ̥ i kʷ    	i bʱ i ʁ    	ə n ɤ    	ɮ ʌ ˀm    ɛ b g    	ɣ ɐi ʑ    	ɣ ɐi dʒʲ    	d ɯ ɯ nʲ χ g    	ɛ k ɛ    		k ɨ̃ i dʒ    	b ɐi dʲ    		ʕ uː    	ɛ dʲ dˤ    	lʲ eˑ    ɯ lʷ ɯ ʒ    	
1235	-4,19819819819803	137,567567567568	bː iɪ d p ɯː sˠ ɑ    		n̪ː õ ʡ iɪ dː ẽ t    	o ʈː kʰ    	kʰ â    	bˤ sʲ õ sˠ ø    	ʡ iɪ ɕʲ t eː    	ʡ õ ŋ eː    	ā w ɕʲ    	n̪ː o w    	bˤ õ ẽ t    		l̪ˠ ā kʰ ɬ    	ʡ ẽ n̪ː u˞ β    	õ l̪ˠ sʲ ø    	d iɪ ⁿd ẽ t t eː    	w eː ⁵ j    		n̪ː õ ŋ eː    		ʡ ẽ n̪ː    		n̪ː õ ŋ eː    	l̪ˠ ẽ ɕʲ u˞ ŋ ʡ iɪ ɬ u˞ ʈː    	bˤ õ t    		ʡ ā ð    				ʡ ā n̪ː ɕʲ ẽ ŋ eː    	l̪ˠ ā ɕʲ    	t õ n̪ː    	t t ẽ eː    	b o ¹ kʰ j o ¹ cː    	w ā sʲ l ẽ t    	o ʈː bˤ iɪ ʈː    	ʝ i̟ ¹ ŋ̩ b ei ¹    	o ʈː    	ʈː ā n̪ː t ẽ ŋ eː    	d õ n̪ː ẽ ʡ    	o ʜ ẽ r    eː ã kˀ sʲ    		u˞ t    	w eː ⁵ j    	bˤ ẽ ʁ u˞ n̪ː    		ʝ u ¹ w sː i ⁵    	kʰ iɪ l̥ eː    	t ⁿd iɪ ẽ l    	ʈː ʉ w    	t õ w ẽ t t    	â ʈː    ʈː ɜ l̥ kʰ    		w ẽ t kʰ t eː    		â ʜ ẽ n̪ː    	õ kʰ t    			ʝ i ⁵ j əu ⁵¹ ∼    	i kʲ ¹ kʲ ɛ ¹    d õ n̪ː ẽ ʡ    	ɑ ɑ̃ d n    	õ    	â ʈː    õ kʰ t iɪ ɜ dː dʰ    	ɡ ⁵ ɵ kʲ i ⁵    	w ā ɕʲ t eː    	â d ɬ    	õ n̪ː ɕʲ    	d ɛ ŋ t u˞    	õ ʈː ɬ    			l̪ˠ ẽ ɕʲ u˞ ŋ ʡ iɪ ɬ u˞ ʈː    			n̪ː iɪ ŋ eː    	u˞ d    	ʡ ā bˤ ẽ β    	o n̪ː d t eː    	ʈː â bˤ    	a̱ l̪ˠ w    			ʡ ā ɬ ø    	õ tɕ dʒ r    		kʰ ẽ β    	dː ẽ u˞ n̪ː t    		õ n̪ː ɕʲ    	ẽ l̪ˠ r    	ʃ ʃ l̥ ʉ eː    	õ kʰ t    	t ā β    		kʰ o w ø    	ʈː iɪ d    	õ ŋ ø    	w ā sʲ l ẽ t    
3164	-3,74774774774758	144,324324324325		ɓ ŭ s ⁵ u ⁵    	ʋ o ⁵ ʋ o ⁵ ɣ ɓ u ⁵    	u ɓ ⁵ v̩ aː ¹⁵    ɯ b ⁵ ŋ̩ ã ¹⁵    bː õ cçʰ    	ɣ aː n ⁵ i ⁵    	ʋ ʏ v̩ ⁵ o ¹    	ɾ̥ʲ ui ⁵ ʋ ui ⁵    		w a̱ s    	ɓ i i v̩ ¹ ⁵    	f aː f ¹ ui ¹    		kʰ cçʰ a̱ ʐ    	ɓ u ⁵ u v̩ ⁵    	w̃ aː ∼ ¹⁵    	ʋ aː ¹    		h a ⁵ vʲ vː ɛ˞ ¹    		ʋ ⁵ ui pfʰ    	h χ ɑ ¹ ∼ ui ¹⁵    		w̃ aː ∼ ¹⁵    	kʰ u ¹ l̥ː kʰ u ¹ v̩ i ⁵    	ø ɣ ¹    	w õ tsː    	a gː b ɔu lː k ɔu d̥ ɔu lː k ʏ    		a cʰ ʋ aːu pɸ    	u d s ¹ i ¹    		ɘ kʰʲ ɔ w̃    	ɾ̥ʲ ø    	ø n    	w ɔu t̪ ɔu ɢ ɛˀ ʔ a    	p ã cçʲ t ə̃ cçʲ d ʃ ə̃ s t ʉ    a ŋ̥ ʋ cʰ    	h ɑ ɣ ⁵ ɓ i v̩ ⁵ i ⁵    	ŋ̥ e ʋ    				h ¹ i i tɕ ⁵    		ɗ ɤˑ ɕ a    		ʋ ɑ ¹ l̥ː kʰ ui ¹    	ɻ ʄ i ə˞ ɻ c    	ʋ oː w ¹ s i ⁵    		w iˀ r i lː i l r ɨ    	n̪ː ɔ˞ ɔ˞ ˀɣ    	kʰ aː n ⁵ i ⁵    	ɘ d ɑ c    		bʰ e̞ cçʲ    		k y ð y b ʝ ʏ    	aː ɣ ¹⁵    	i w̥ ¹ d n ɐ ¹    	ɾ̥ʲ ɑ ¹ w    	ʋ i ⁵ χ ⁵¹ ɔ̃ ∼    		a t    	k j ɛˀ l ʏ    	ɐi ⁿt a gʱ    	a k ʔ ɔu ʔ ʏ    	ʋ i ⁵ v̩ e ⁵¹ χ    	a̱ lˠ ʐ    	aː ʋ ¹⁵ χ    		l ɔu gː ʋː ɛˀ lː    	l̪ ɛˀ ʝ iˀ lː ð a l l a t̪ gː a ʔ a    k iː ¹    	iː d ⁵    	õː k ɯː n    	kʰ oː v̩ ¹ ui ⁵    		ɑ ʋ ⁵ n    	eː t ¹ w    	n y ɕ ɗ ɤˑ lː    	l y j iˀ r i ð n ɤˑ r a    	l ɛˀ ʔ a l̪ a ɢ a    	b ɔu l ʔ ɔu ɔu l ɔu ʔ ʏ    	w̃ ∼ ui ⁵ χ oː n ¹    	ʋ u ¹ χ o ¹ ɣ    	h ɑ ⁵ f ui ¹    ɾ̥ʲ ɑ ¹ w    	gː ɛˀ lˠ a t̪ a kʷ ɨ    		j iˀ ʔ ʏ    	d ui ¹ tɕ ui ¹    	ɛ˞ ⁿd ⁵ j ∼ ui ¹    			w iˀ ɗ k m ɛˀ a ʔ a    	h ɑ ⁵ v̩ i ⁵    			¹ n ɐ̃ ɐ ʔ ¹    			ɑ r h ɑ ¹    
7628	-9,15315315315298	141,621621621623		pː ɛˀ ⁵ xː əː ⁵    	ŋ əː ¹ nʷ əː ¹    	ŏ χ ʔʲ    		ŋ ʌ ⁵ nʷ ɐ ¹    	t ⁵ ø ø kʼ ⁵    	ɣ a̤ t ɨˑ    	ŋ əː ⁵ nʷ ʌ ⁵    	pː ʌ ¹ ʌ nʷ ⁵    	f ɛ f ¹ ɛ ¹    			pː ⁵ əː nʷ əː ⁵    	a k s a    	æ̃ ŋ ¹    		m a ɺ    		ɓ aʊ ⁵ ɣ    		u ŋ̥ m    	w̥ i ∼ ¹⁵    	⁵ pː ṳ nʷ æ̃ ¹⁵    	ʑ ɔː ¹    	m ã ⁵ ɣ ʌ ⁵    	ɑ p n    ĩ kː rʲ    	d a dʒʰ a χ ɲ    	d eː ¹ ʌ xː ¹    		f ⁵ ʌ nʷ ʌ ⁵ nʷ ʌ ⁵    	ɓ e̠ r    	ɮʲ õ    		o b ¹ ŋ̩ ɣ o ¹ tsʲ    	ɣ a̤ t ɨˑ    	h iˀ ⁵ m pː ʌ ⁵ nʷ ʌ ⁵    	ɓ a ¹ n̪ e ɓ ¹    	ɐ ¹ ɓ ŋ    ɓ ɐ ¹ ŋ    		ɳ e̱ ɦ e̠ tɕ    a̤ nʲ ai ˀɣ    	ɑu ɨ̃ ŋ wʲ    			tsʲ u ⁵ j    	ɑi ʃ n ʃ    	u j t t ɨˑ    	tː ɨˑ ʐ ɑi ɺ    				tsʲ æ̃ ⁵ ɓ ʌ ⁵    	dz æ t ɣ o ɬː u    				n̪ a ⁵ dz ∼ ɛ ¹    	n ɨ̃ m    	tsʲ ʌ ¹ ɓ d ɛ ¹    		a ɓ ⁵ ʑ œ ⁵¹ ∼    	k ¹⁵ i k    	a ɺ    				⁵ ŋ ʌ ɑi nʷ ⁵¹ j    	ɬ ɑ ʃ    lˠ y ʃ    	ɨ ɲ d    ʡ eˑ tɕ    		d iˀ ⁵ d m æ̃ ⁵ xː əː ⁵    		d æ̃ ⁵    u j t t ɨˑ    h ʌ ¹ ʌ ʋ ⁵    	xː ɨ̃ m    	zʲ ø qχ ¹ ø ⁵    	ɓ mˀ u ¹ u ¹    	iˀ ŋ ⁵ ɓ    	ɓ e ⁵ t ʌ ⁵ j ɐ ¹ tsʲ    					h iˀ ¹ əː ɓ d ⁵    			l̥ ɔ̃    		⁵ ŋ ʌ ɑi nʷ ⁵¹ j    	d ɛ ¹ ʋ ɛ ¹    		au ˀŋ ɮʲ    	h ʌ ⁵ ŋ ŋ iˀ ⁵    		h iˀ ¹ j ∼ ɛ ¹⁵    	χ rː e̱ u t    				ʀˀ ¹ ɐ ʑ    	ʔ eˑ ɾ a ¹    
7839	-3,29729729729713	133,063063063064	q uː pʼ f ʏ mʲ eː    	u f ⁿg    	ɲ f u i    	ŋ̥ æ ʎ aɪ ȶ    	y s r̃ u k    	ʝ ɐ ʃ    	ⁿt ɛ a̹ ŋ̥    	q ĩ f eː    	ãː ŋ̥ ȶ    		æː m tʃ ã ç    		ɲ ʏ f ĩ pʼ pʲ    q ɐ ⁿg    		ãː ʃ h u dʒʰ    	j uː ɲ mʲ ĩ pʲ    		aɪ ȵ    		dʒʰ u ʎ u dʒʰ    	ɪ j ĩ ⁿg    	ɛ f    	ⁿt ɛ a̹ ŋ̥    	ɲ á r̃ a̹ ȶ    	f ɐ qʼ    	mʲ ĩ gː    	ɑ̆ hʷ ʎ    	b á ȶ a̹ ɲ    	m ʄ ã ɐ ʔʷ    ɛ t ȶ    		u tʃ mʲ ĩ pʲ    	ãː æ q dʒʰ    	ɐ ɲ ⁿg eː    	b a̹ f mʲ ĩ pʲ    	k a̹ rː    	ȶ ɑ̆ ɔː ʎ ʄ    	ʃ ĩ tʃ    			ɲ á f mʲ ĩ pʲ    	ŋ̥ ɤ ʈ s    	mʲ á g ʏ qʼ    		u mʲ mʲ    	ɐ ⁿg tʲ ʏ f mʲ ĩ pʲ    	ʏ ɲ z    	aː m ʄ m ãː ʔʷ    	ɪ f b g    iɔ dʒʰ ⁿg    ɑ̆ hʷ ʎ    	j ĩ ɲ mʲ ĩ pʲ    	uː q ⁿg b    		b ʏ ɲ    	ɑ̆ æ v̩ ⁿg    					ɲ ĩ    	b ɐ ʏ j ȶ    	j uː tʼ i    	á ɲ ȶ    	b á f a̹ ȶ    	mʲ ʌː ɪ ʃ    	b ʏ f    	æː ŋ k ã ç    		q ʏ ɯa ɾ ⁿg    		iː ɬː sʰ    	j á mʲ uː ȶ ĩ pʲ    	q ũ mʲ    					ʔʷ ãː m ɐ ʔʷ    	j á mʲ uː ȶ ĩ pʲ    	f i tʃ i mʲ    	ɲ á ʈ a̹ ȶ    i tʃ mʲ ĩ pʲ    		ȶ u ʄ ȵ u rː    	ɲ ĩ d̪    	ĩ gː    	ʃ á z mʲ ĩ pʲ    	q á j f a̹ pʲ    	pʼ uː f ʏ g i    	ɐ d̪ eː    	ʃ ĩ ia g pʲ    	aɪ bv ʄ    	ɲ ʏ d̪    	tʲ ũ ʎ ɑ̆ ˀŋ v    m̥ ũ ɲː ɑ̆ ȵ t    	u ħ ɛ    	j ʌ f mʲ ĩ pʲ    	ʃ á g    s əu ˀj    	ʏ b z    	mʲ pʼ ʏ ɪ    	ĩ pʲ    			ʃ uː f ʏ pʲ    
8149	-3,29729729729713	137,567567567568	h a kʷ ɯː kʷ t̪ a    	v ɛ̃ ʐ    	a b ɯː tɬʰ kʷ    ĕ g j i    	ɨː ŋ̥ kʷ ɯː kʷ    	b ãː ãː kʷ ɖʱ    ˀm ẽ ẽ l    	l ɛ̃ t̪    			ŋ̥ ɨː kʷ    	ɸ eː a sʰ v    	ɨ̃ ɭ tʃ e b    ɨ̃ ɭ tʃ e g    ɨ̃ ɭ tʃ e g    		ɣ ʌ̃ ʈʂʰ tɕ a n̩    	b æ ˀɣ a̠ c    		aː̈ v dʲː ɨː t̪ ŋ̥    	w eː ⁵ j    	i c    	tʃ i l ɨː ŋ̥    		ŋ̥ ɛ̃ q ɨː ŋ̥    		qʼ ũ v    	æː sː ˀj ɛ̃ t̪    	s ə tʲ    	ɭ i d̪ː    	ɳ a kʷ    	ɸ ɨː w ɛ̃ ŋ̥    			eː tʃ t̪ ɨː ŋ̥    	ɒ aː̈ sʰ ŋ̥    	h ẽː q a    		b ɐi ¹ r j ɐi ¹ w    b ɐi ¹ r j ɐi ¹ w    s ə tʲ    	j a d̪ ɯː ʐ    	ɒ ɸ tʃ    rː eː rʲ rː    	ŋ̥ ẽː ʐ    	b ɨː ɴ    		ŋ̥ a ʐ b    	t̪ ɛ̃ ɕ ɯː z    				rː eː rʲ rː    	kʷ ɯː q nˀ aː̈ ŋ̥    	ɳ a kʷ    e kʷ kʷ q    	j ɨː h t̪ āː ŋ̥    		ˀm ẽ ẽ l    		t̪ ɤ ʃ    		ɒ j    	ɯ̃ sː sː    	i f ⁵ j ∼ ɛ ¹    	ˀŋ ɒ    	v t̪ ɯː g    	j a dː øː    	h ɛ̃ kʷ    	kʷ ɔ kʷ    	æ a t̪ ɸ    	kʷ ɯː l a    	kʷ a ɒ v    	ⁿt ɒ ⁵ kʲ i ⁵    	ŋ̥ ɯː z ũ ʐ    	tʃ v ẽː a    	q i ɭ i kʷ    	j ɛ̃ l a aː̈ dʲː ŋ̥    		e d̪ː q ɭ i f    		ŋ̥ a ʐ b    	ẽː dː ɯː kʷ t̪ ɨː ŋ̥    	ʝ eː ¹ r eː ¹    	a̠ ˀɣ χ ɔ ɭ i h    	ʝ i̟ ⁵ ɖʱ i ⁵ j ɐi ¹ w    		d æ ɭ kʷ i h    	j ɛ̃ q oːu ⁿdz z    			ɣ ʌ̃ ʈʂʰ tɕ a n̩    	ŋ̥ j ɛ̃ eː kʷ ŋ̥    	kʷ a kʷ ɯː ɕ øː    	kʷ a kʷ ɯː ɕ øː    	ɸ ɨː kʷ    	ʑ ɛ ¹ l ɛ ¹    	ɯː h ɴ    		i dː øː    	v ɛ tɕ t̪ ɔ ŋ̥    		b ɯː z    a̠ ˀɣ χ ɔ ɭ i h    	kʷ ɯː l a    	ɒ ŋ̥    	v ɯː v    		a d̪ əː l ¹    
7239	-5,09909909909893	141,621621621623	ɕʲ ɐ m s uɔ dʒ a    	ɑ x x fʲ iɪ ð    	k ɑu sː    	ʉ dʒ ŋ̥ uɔ fʲ    u m w    	dʲ əu ˀn u k    	ä x tˤ ɭ iɪ ʕ ð o k    x uɔ ˀt̪ k ʏ    	ɣ ɐ x pː ɔ̃    	ʋː aː ʐ ɛ̃ˀ    		mː əu ˀn ɐ k    	ẽ m tʃ a k    		k ɑ gː ɭ    	dʲ əu ɖː u pʰ    	mː ʐ ʉ u ŋ̥    	k ɔ̃ ɖː m ʉ ŋ̥    	ɖː ɔ̃ m ʉ ŋ̥    	a pʰ    		ŋ̥ əu m u ŋ̥    	u ŋ̥ ʉ ɖː ŋ̥    	dʲ uɔ pʰ    					ʋː ɐ m    	pː ɔ̃    			m u tʃ ʉ ŋ̥    	ɭ ɔ̆ x    	pː ɖː ɔ̃ a    		mː ʉ m    	ˀh ɐ dʒ uɔ ɖː    	mː ʉ tʃ    		dʲ ʉ ɹ    ŋ̥ ʉ fʲ    	ẽ dʒ uɔ ʉ pː m ŋ̥    	ŋ̥ ɖː ɐ dʲ    	m əu mː uɔ m    		ɔ̃ m s    	ɖː ɔ̃ m ˀd uɔ m ʉ ŋ̥    	pː uɔ m    	dʲ uɔ ɖː m ʉ ŋ̥    	ɪ ŋˑ iɪ nː ɕ    	ˀh ʉ pː m ʉ ŋ̥    		z u u fʲ    ɓ ɑ w    	ʐ tɕ aː ʐ    						pː ʉ    		ˀh r a ʏ    	pː əu fʲ    		ẽ dʒ ɐ çː    		ʉ ˀd ɐ m    		ŋ̥ uɔ z ɐ ɖː    	tʃ k ɔ̃ a    	u pː dʲ    	u ɕʲ ɐ m ɖː ʉ ŋ̥    	u ŋ̥ m    ˀd ʉ    			ə ʈ ʎ    	ɔ̃ tː uɔ m m ʉ ŋ̥    	pː m ɔ̃ a    	u χ ɖː ɐ dʒ ʉ ŋ̥    	k a tʃ a k    		pː əu m m ʉ ŋ̥    	ˀh əu ɖː ˀd u m    	pː ʉ ɹ    			ŋ̥ əu ˀh m u ŋ̥    		ʐ tɕ aː ʐ    	mː ɔ̃ fʲ    	dz ɑo g oː m    	a pː sˀ    	f ɑ χ    		ˀh əu m m ʉ ŋ̥    	mː əu w    	uɔ dʲ m    	dʒ s uɔ a    	ʉ ŋ̥    	a tʃ m ʉ ŋ̥    		mː ɐ dʒ uɔ ŋ̥    
7834	-2,84684684684668	138,468468468469	kʰʲ æ̃ ˀl β m ɯː a    	ɣ æː ʄ    	õ χ z õ ˀɣ    	ã nː d    	pʰ ɗː u u ɣ    	ɽ æː ɬː    		ð β æ̃ ei    	ð æ̃ ˀl    				ŋ̥ e ʔʲ    		n̊ æ̃ m æː ð    	ɣ a̤ m qχː æ̃ ð    		a˞ t    		ð β u u ð    	u ð ʈʂ æ̃ ð    			ʃ ã j p ã ʃ oː nː    	e˞ ʒ ð    	w õ ɳ    			ŋː eː ʔʲ yː ŋ̥    		tʃ u m æ̃ ð    			ɗː a̤ β m æ̃ ð    	n̊ æ̃ dː    ɽ æː ɬː    	j æ̃ ʃ ã kː    	n̊ ɒ tʃ    		ɴ ãː gː    		æ̃ j bː a˞    			a̤ m ˀl    		ʑ ħ ɔɪ ʑ    	a ɗː ʄ d aː̈ ɽ    	ɗː cç āː g    	j æ̃ t ɒ m ð    	ɗː aːi tɬʼ aːi θ    	ɑ nː pʼ    				ɒ sˤ    		u m ɔɪ dʑ    	ɒ t    	ɗː e˞ ei m ˀl    r ãː e˞ r̥ bː    	a j m æː    	u t ˀl    		æ æ̃ m ɕ    		ɒ t̪ āː ɴ    	ɒ t    	ð ei ʔ a˞ kː    	ɣ tʃ e˞ a    	h aː̈ ɾʲ a r    	j æː m æ̃ ʈʂ ɒ ð    	i χ ʑ    			æ ɣ ei ˀl    	e˞ t ei β m æ̃ ð    	β a̤ t a˞    		ɣ a˞ a˞ tʃ ɣ    	t u u t ˀl    	t æː β m æ̃ ð    	j ʈʂ u u n̊ dː    			æː n̊ dː m æ̃ ð    	bː ɛ̠ ɾʲ    				t a˞ qχː    	t ei kʰ    		a˞ bː a˞    			j æː β m æ̃ ð    	ˀl ei m ei    	aː̈ d j    	ˀl ei m ei    	pʰ a aː̈ ʄ    	n̊ æ̃ ei β ð    
3151	-4,19819819819803	136,666666666667	h ɯː ɬː dʒ ä wʲ ɛː    	cʰ o̞ ŋː    	ŋ̥ ä ɟ i ˀk    r̥ ⁿt ɔɪ ɪ t    	ŋ̥ ɬː aː̈ ɯː dʒ    	b a̠ a̠ ɬː k    ŭ ⁿd    	a̠ ŋ̥ qχː    	d ä qχː ɯː ʄ wʲ i ˀk    	ŋ̥ ä ɬː ɛː    	i ŋ̥ dʒ    	o g ʃ    	ə m̥ ɔɪ n    			b x a̠ a̠ d    	ʁ i w a̠ ˀk    	k ɛu ʄ wʲ ä ˀk    	n ɔˑ ɟ    	i d    		ŋ̥ a̠ a̠ ɬː dʒ    	ŋ̥ a̠ x ä ˀk    			d v a̠ a̠ ʋ    	k ui ɺ    	çʰ iə̃ çʰ    	ɯː f x    		b ɯː i ʄ ˀk    		a̠ wʲ i tʃ ˀk    	i ɬː ä ˀk    	d ui x ɛː    	b ɛu ɬː wʲ ä ˀk    	ʁ i ɺ    	dʒ ɯː t̪ ä ʄ    	ʁ i tʃ    	ui ŋ̥ ʄ    	b i qχː    		b ẽ ⁿg    	wʲ a̠ ˀp ä ɺ    		wʲ ɛu dʒ    	ɨ̃ qχː ɛː    	d ä ɺ    	b ä ʄ wʲ i ˀk    	ɯː kʷ ɬː q    k ɔ̃ː k ʃ ɘ d    	v̩ ä d wʲ i ˀk    	b ɯː tɬʼ ä ɬː    		b ä d    	i l̪ ɯː ʋ    		k sˤ au ɘ rʲ    		sʲ i i ɺ    	i d    		v̩ ɯː ɾ i    i ŋ̥ dʒ    	d a̠ dʒ    	b a̠ ɬː a̠ dʒ    	ɯː ɨ̃ wʲ f    	b ä ɬː    	i l̪ ɯː ʋ    	ʁ a̠ pʰ    	ŋ̥ ŋ̩ ä i ʄ    	k ɨ̃ tʃ ɯː    	b a̠ ɬː a̠ dʒ    	j n ɨ̠ lˠ ɘ ɲː    	ŋ̥ a̠ ʋ    	ɯː v̩ d wʲ ä ˀk    	k ui ɬː ä wʲ ˀk    		ɨ̃ d ɬː ä wʲ i ˀk    			k tʃ i i k    	d a̠ l̪ a̠ dʒ    	d a̠ wʲ ɬː ä ˀk    	v̩ a̠ ʄ d a̠ ɺ    	d ä c    	a̠ ŋ̥ ɬː ä c    	ʁ a̠ x wʲ ä ˀk    	ŋ̥ a̠ v̩ a̠ ɬː ˀk    	ɛu i wʲ ˀk    	ɨ̃ qχː ɛː    		i d ʄ    		d iː̟ ɬː iː̟ p sʲ    	i ɾ i    			ä b ɺ    	dʒ ä wʲ ɛː    	i ˀk    d iː̟ ɬː iː̟ p sʲ    	k ä ʋ    	ɬː i ɯː ʄ    	ʃ ɨ̠ ɻ k ɘ d    
8139	-9,15315315315298	147,027027027028		θ ⁵ n oː oː ⁵    		θ ⁵ ŭ n iɔ ¹⁵    					ʝ oː ⁵ ɤ̱ i ⁵    	i θ ¹ ɤ̱ i ⁵    	f ɛ ¹ ɛ f ¹    						uː θ ⁵    			k ɛ̠ ⁵ n̥    	xː oː ¹ j ∼ ɪ̃ ¹⁵    			ɡ oː ¹ n̩ ɯ ɡ ¹ ɤ̱ i ⁵    	øː ¹ n n ɪ̃ ¹    	ʈ n iɔ i ⁵ ⁵    	xː oː ⁵ ʈ θ ⁵ i n i ⁵    				ɣʰ i ɤ̱ ⁵ ⁵ i n i ⁵    		n ʌ    	ʉ l    	lˠ o ¹ r j o ¹ fː    		xː oː ⁵ ʈ θ ⁵ i n i ⁵    	ɑ ʝ ¹ lˠ β e ¹    	θ ¹ ɔ̃ n̩    	iɔ ʈ ⁵    		i xː ¹ k i ⁵    			oː ⁵ n j    	ʝ oː ¹ n̩ ɡ ɪ̃ ¹    	iɔ ʈ ⁵    iɔ β ⁵    								xː oː ¹ d n oː ⁵    		tsˀ i ⁵ j ∼ ɪ̃ ¹    	iɔ ʈ ¹⁵    	k i ¹ l bˤ ɛ ¹    		ʝ i ⁵ j ɒ ⁵¹ ∼    	iː ¹ n n ɪ̃ ¹    				ɡ aːi ⁵ n i ⁵    	ʝ i ⁵ ɤ̱ e ⁵¹ j    		¹⁵ ʝ iɔ ħ    		bˤ ⁵ ɑ β bˤ iɔ ⁵ l ɑ ⁵    		d iː ⁵    				ʝ ɑ ⁵ l    	ʝ ɑ ⁵ i k ⁵ j o ¹ fː    	⁵ θ oː n oː ⁵    		d oː ¹ n i ¹    		ʈʂ ∼ é ⁵ j n ɪ̃ ¹    	ʝ oː ¹ j ɔ̃ ¹ ʈ    	ɑ h ⁵ f ɛ ¹    				ʝ iː ¹    		i ʝ ⁵ ɤ̱ ɔ̃ ¹    		k ʌ ¹    	iɔ ⁵ ɡ n i ⁵    						ʌ q ɯ ɴ ¹    
